2J,Storvorde,"851710300,851806100,851910100,851910200,851500200,851700300,851220500,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851012600,851008500,851805400,851100300,851008700,851012500,837900400,837900100,837900500,837000800,837900200,837900300","0,0,1,1,1,1,1,1,1,1,3,1,2,7,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,4,1,0,1,1,1,2,1,0,1,1,1"
2J,Aalborg Lufthavn / Airport,"837900300,837900200,837000800,837900500,837900100,837900400,851012500,851008700,851100300,851805400,851008500,851012600,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851220500,851700300,851500200,851910200,851910100,851806100,851710300","1,1,1,0,1,2,1,1,1,0,1,4,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,7,2,1,3,1,1,1,1,1,1,1,1,0,0"
2K,Gistrup Skole,"851011900,851520000,851019100,851915300,851214100,851520100,851520300,851214000,851921400,851012800,851012900,851700400,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851400800,851008600,851804300,851804200,851994000,851994100,851994500,851994600,851994700,851994800,851023200","0,0,1,1,0,1,1,0,1,1,2,0,1,1,1,3,1,2,7,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1"
2K,Nørresundby,"851023200,851994800,851994700,851994600,851994500,851994100,851994000,851804200,851804300,851008600,851400800,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851700400,851012900,851012800,851921400,851214000,851520300,851520100,851214100,851915300,851019100,851520000,851011900","1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,7,2,1,3,1,1,1,0,2,1,1,0,1,1,0,1,1,0,0"
2L,Gistrup Sæderupvej,"851011900,851520000,851019100,851915300,851214100,851520100,851520300,851214000,851921400,851012800,851012900,851700400,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851400800,851008600,851804300,851804200,851994000,851994100,851994200,851994300,851021300","0,0,1,1,0,2,1,1,1,2,1,1,1,2,1,3,3,2,5,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,1,1"
2L,Nørresundby,"851021300,851994300,851994200,851994100,851994000,851804200,851804300,851008600,851400800,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851700400,851012900,851012800,851921400,851214000,851520300,851520100,851214100,851915300,851019100,851520000,851011900","1,1,1,1,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,5,2,3,3,1,2,1,1,1,2,1,1,1,2,0,1,1,0,0"
2M,Aalborg Lufthavn / Airport,"837900300,837000100,837900500,837900100,837900400,851012500,851008700,851100300,851805400,851012600,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851023100,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851220500,851700300,851500200,851910200,851910100,851806100,851710300","0,0,2,0,1,2,1,0,1,1,6,0,1,1,1,0,1,1,1,1,1,1,2,1,2,1,4,2,2,1,2,1,1,2,1,0,1,0,1,1"
2M,Storvorde,"851710300,851806100,851910100,851910200,851500200,851700300,851220500,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851023100,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851012600,851805400,851100300,851008700,851012500,837900400,837900100,837900500,837000100,837900300","1,1,0,1,0,1,2,1,1,2,1,2,2,4,1,2,1,2,1,1,1,1,1,1,0,1,1,1,0,6,1,1,0,1,2,1,0,2,0,0"
5,AAU Busterminal (Sigrid Undsetsvej / Aalborg),"851052700,851942800,851899100,851935000,851103700,851002800,851102800,851951900,851202800,851023300,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300","0,1,1,0,1,1,0,1,2,1,2,1,1,1,1,1,1,0,1,1"
5,Skelagergårdene (Skelagervej / Aalborg),"851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851023300,851202800,851951900,851102800,851002800,851103700,851935000,851899100,851942800,851052700","0,1,0,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2"
6,Lindholm Station (/ Lindholm Nærbanevej),"851000300,851992000,851111500,851007500,851982500,851000600,851982300,851400600,851914200,851913600,851915500,851283100,851924300,851920900,851921400,851220500","0,1,1,0,1,1,1,5,7,0,1,2,1,1,2,2"
6,AAU Busterminal (Sigrid Undsetsvej / Aalborg),"851220500,851700300,851921400,851920900,851924300,851283100,851915500,851913600,851092900,851400600,851982300,851000600,851982500,851007500,851111500,851992000,851000300","0,1,1,1,1,1,1,1,0,8,4,1,1,1,0,1,2"
